date,amount,category,description
25-04-2025,312.88,Income,Freelancing
23-04-2025,148.67,Expense,Dining Out
22-04-2025,276.12,Income,Bonus
21-04-2025,97.34,Expense,Rent
20-04-2025,430.77,Income,Freelancing
19-04-2025,58.44,Expense,Transport
18-04-2025,89.10,Expense,Groceries
17-04-2025,210.55,Income,Cashback
16-04-2025,77.60,Expense,Subscription
15-04-2025,399.99,Income,Bonus
14-04-2025,65.25,Expense,Internet
13-04-2025,122.00,Expense,Groceries
12-04-2025,185.75,Income,Cashback
11-04-2025,95.45,Expense,Utilities
10-04-2025,345.00,Income,Freelancing
09-04-2025,80.00,Expense,Dining Out
08-04-2025,263.00,Income,Bonus
07-04-2025,59.99,Expense,Subscription
06-04-2025,190.40,Income,Rent
05-04-2025,84.25,Expense,Transport
04-04-2025,130.00,Expense,Groceries
03-04-2025,222.35,Income,Cashback
02-04-2025,66.50,Expense,Internet
01-04-2025,304.90,Income,Bonus
31-03-2025,79.75,Expense,Rent
30-03-2025,99.99,Expense,Subscription
29-03-2025,150.00,Income,Freelancing
28-03-2025,55.60,Expense,Transport
27-03-2025,185.25,Income,Bonus
26-03-2025,71.40,Expense,Dining Out
25-03-2025,260.30,Income,Rent
24-03-2025,90.25,Expense,Utilities
23-03-2025,115.00,Expense,Groceries
22-03-2025,330.45,Income,Cashback
21-03-2025,64.90,Expense,Internet
20-03-2025,412.00,Income,Freelancing
19-03-2025,85.70,Expense,Rent
18-03-2025,75.00,Expense,Subscription
17-03-2025,288.80,Income,Bonus
16-03-2025,52.25,Expense,Transport
15-03-2025,170.99,Income,Freelancing
14-03-2025,99.10,Expense,Groceries
13-03-2025,248.75,Income,Cashback
12-03-2025,68.45,Expense,Dining Out
11-03-2025,300.30,Income,Rent
10-03-2025,76.00,Expense,Internet
09-03-2025,190.10,Expense,Utilities
08-03-2025,255.55,Income,Bonus
07-03-2025,93.40,Expense,Subscription
06-03-2025,340.00,Income,Freelancing
05-03-2025,82.25,Expense,Groceries
04-03-2025,213.50,Income,Cashback
03-03-2025,58.00,Expense,Dining Out
02-03-2025,285.70,Income,Bonus
01-03-2025,63.20,Expense,Transport
28-02-2025,95.00,Expense,Rent
27-02-2025,170.85,Income,Freelancing
26-02-2025,86.45,Expense,Internet
25-02-2025,294.00,Income,Bonus
24-02-2025,79.60,Expense,Utilities
23-02-2025,145.10,Expense,Groceries
22-02-2025,321.00,Income,Cashback
21-02-2025,69.45,Expense,Dining Out
20-02-2025,360.20,Income,Rent
19-02-2025,88.00,Expense,Subscription
18-02-2025,215.90,Income,Freelancing
17-02-2025,74.30,Expense,Transport
16-02-2025,175.50,Expense,Utilities
15-02-2025,305.75,Income,Bonus
14-02-2025,66.00,Expense,Internet
13-02-2025,198.00,Income,Freelancing
12-02-2025,92.40,Expense,Groceries
